-40.0	5.0	1.0
-13.0	13.0	1.0
-75.0	75.0	5.0
0.0	0.0	-69.99937
x        y        z        Bx        By        Bz
-40 -13 -75 5.34853223516e-06 -6.704063353e-06 1.15253637398e-05
-39 -13 -75 5.14868980469e-06 -6.9188843839e-06 1.2171379703e-05
-38 -13 -75 4.89812982276e-06 -7.12833013e-06 1.27748471965e-05
-37 -13 -75 4.61525990078e-06 -7.3305053803e-06 1.33558448383e-05
-36 -13 -75 4.30321554531e-06 -7.5305579994e-06 1.39146418043e-05
-35 -13 -75 3.93083374123e-06 -7.6859535831e-06 1.44181466284e-05
-34 -13 -75 3.54217701179e-06 -7.8353097466e-06 1.48808399226e-05
-33 -13 -75 3.14331574029e-06 -7.9740850503e-06 1.53004490565e-05
-32 -13 -75 2.69816108249e-06 -8.0838072798e-06 1.5679594078e-05
-31 -13 -75 2.22950122367e-06 -8.1814001875e-06 1.60256818397e-05
-30 -13 -75 1.76131086191e-06 -8.2566018321e-06 1.62906074157e-05
-29 -13 -75 1.27658742345e-06 -8.307528742e-06 1.65132342814e-05
-28 -13 -75 7.57613555111e-07 -8.3584892133e-06 1.67163440655e-05
-27 -13 -75 2.70849202529e-07 -8.3596923515e-06 1.68471414054e-05
-26 -13 -75 -2.7036351761e-07 -8.3328838294e-06 1.69256066063e-05
-25 -13 -75 -8.1475305224e-07 -8.3003584827e-06 1.69640242864e-05
-24 -13 -75 -1.3441948927e-06 -8.2348885706e-06 1.69559079494e-05
-23 -13 -75 -1.8946131488e-06 -8.1502319007e-06 1.68731532893e-05
-22 -13 -75 -2.4598038541e-06 -8.0445609592e-06 1.6739620672e-05
-21 -13 -75 -3.0200732549e-06 -7.9114351253e-06 1.65581642256e-05
-20 -13 -75 -3.5921981611e-06 -7.7496895144e-06 1.63482170816e-05
-19 -13 -75 -4.1624885898e-06 -7.5627610433e-06 1.60586718739e-05
-18 -13 -75 -4.7338485136e-06 -7.3519334256e-06 1.57193468149e-05
-17 -13 -75 -5.3148568669e-06 -7.112829856e-06 1.5301708783e-05
-16 -13 -75 -5.8839483948e-06 -6.8559536749e-06 1.48373805991e-05
-15 -13 -75 -6.458045835e-06 -6.5652169273e-06 1.43076693928e-05
-14 -13 -75 -7.02096763e-06 -6.2669107059e-06 1.37298615599e-05
-13 -13 -75 -7.5617856021e-06 -5.9323696073e-06 1.30650199585e-05
-12 -13 -75 -8.0935318723e-06 -5.580887669e-06 1.23579710624e-05
-11 -13 -75 -8.6106906829e-06 -5.2037819103e-06 1.15829911575e-05
-10 -13 -75 -9.096291693e-06 -4.8125082921e-06 1.07589898024e-05
